epoch,train_loss,loss,micro_f1,macro_f1,exact_match,run
1,0.123273,0.113391,0.435386,0.126327,0.314596,initial
2,0.088987,0.087856,0.539047,0.327149,0.410984,initial
3,0.075913,0.084710,0.573963,0.395401,0.456137,initial
4,0.065149,0.088428,0.570786,0.437713,0.459270,initial
5,0.051243,0.094336,0.573207,0.454731,0.467748,initial
6,0.042997,0.103018,0.571211,0.441005,0.468301,initial
7,0.035268,0.108425,0.562610,0.454954,0.455584,initial
8,0.028493,0.115151,0.562541,0.469861,0.451898,initial
9,0.024753,0.118769,0.562307,0.472592,0.449871,initial
10,0.021254,0.119841,0.561966,0.471766,0.449871,initial
