,precision,recall,f1-score,support
gratitude,0.8096676737160121,0.9023569023569024,0.8535031847133758,297
amusement,0.7477203647416414,0.8282828282828283,0.7859424920127795,297
admiration,0.7573696145124716,0.6844262295081968,0.7190527448869752,488
love,0.5733788395904437,0.9281767955801105,0.7088607594936709,181
neutral,0.6120647376164786,0.7839195979899497,0.6874139355549436,1592
remorse,0.6206896551724138,0.7659574468085106,0.6857142857142857,47
fear,0.5851063829787234,0.7432432432432432,0.6547619047619048,74
desire,0.6956521739130435,0.5,0.5818181818181818,64
surprise,0.5042735042735043,0.6210526315789474,0.5566037735849056,95
optimism,0.5197368421052632,0.5939849624060151,0.5543859649122806,133
joy,0.5396825396825397,0.5619834710743802,0.5506072874493927,121
anger,0.5423728813559322,0.5,0.5203252032520326,192
sadness,0.40540540540540543,0.7058823529411765,0.5150214592274678,85
curiosity,0.459915611814346,0.5317073170731708,0.49321266968325794,205
disgust,0.4375,0.47297297297297297,0.45454545454545453,74
caring,0.620253164556962,0.35507246376811596,0.45161290322580644,138
embarrassment,0.5555555555555556,0.35714285714285715,0.43478260869565216,28
confusion,0.5333333333333333,0.29411764705882354,0.3791469194312796,136
approval,0.5521472392638037,0.2535211267605634,0.3474903474903475,355
annoyance,0.372972972972973,0.2793522267206478,0.3194444444444444,247
excitement,0.4318181818181818,0.24358974358974358,0.3114754098360656,78
disapproval,0.5242718446601942,0.21951219512195122,0.30945558739255014,246
disappointment,0.4225352112676056,0.23255813953488372,0.3,129
realization,0.25,0.05813953488372093,0.09433962264150944,86
nervousness,0.0,0.0,0.0,11
grief,0.0,0.0,0.0,10
relief,0.0,0.0,0.0,8
pride,0.0,0.0,0.0,9
